Term,term_full_ID,Pri_Disease_ID,Pri_disease_term
bacteroidaceae infections,c01.150.252.400.110,c01,infections
bacteroides infections,c01.150.252.400.110.109,c01,infections
bartonellaceae infections,c01.150.252.400.126,c01,infections
bartonella infections,c01.150.252.400.126.100,c01,infections
"angiomatosis, bacillary",c01.150.252.400.126.100.075,c01,infections
cat-scratch disease,c01.150.252.400.126.100.150,c01,infections
trench fever,c01.150.252.400.126.100.800,c01,infections
bordetella infections,c01.150.252.400.143,c01,infections
whooping cough,c01.150.252.400.143.500,c01,infections
brucellosis,c01.150.252.400.167,c01,infections
"brucellosis, bovine",c01.150.252.400.167.322,c01,infections
burkholderia infections,c01.150.252.400.170,c01,infections
glanders,c01.150.252.400.170.400,c01,infections
melioidosis,c01.150.252.400.170.531,c01,infections
campylobacter infections,c01.150.252.400.177,c01,infections
chlamydiaceae infections,c01.150.252.400.210,c01,infections
chlamydia infections,c01.150.252.400.210.125,c01,infections
chlamydial pneumonia,c01.150.252.400.210.125.123,c01,infections
"conjunctivitis, inclusion",c01.150.252.400.210.125.245,c01,infections
lymphogranuloma venereum,c01.150.252.400.210.125.490,c01,infections
trachoma,c01.150.252.400.210.125.745,c01,infections
chlamydophila infections,c01.150.252.400.210.250,c01,infections
chlamydial pneumonia,c01.150.252.400.210.250.299,c01,infections
psittacosis,c01.150.252.400.210.250.600,c01,infections
cytophagaceae infections,c01.150.252.400.245,c01,infections
desulfovibrionaceae infections,c01.150.252.400.260,c01,infections
ehrlichiosis,c01.150.252.400.285,c01,infections
heartwater disease,c01.150.252.400.285.500,c01,infections
enterobacteriaceae infections,c01.150.252.400.310,c01,infections
"dysentery, bacillary",c01.150.252.400.310.229,c01,infections
escherichia coli infections,c01.150.252.400.310.330,c01,infections
"meningitis, escherichia coli",c01.150.252.400.310.330.500,c01,infections
granuloma inguinale,c01.150.252.400.310.417,c01,infections
klebsiella infections,c01.150.252.400.310.503,c01,infections
rhinoscleroma,c01.150.252.400.310.503.500,c01,infections
proteus infections,c01.150.252.400.310.708,c01,infections
salmonella infections,c01.150.252.400.310.821,c01,infections
paratyphoid fever,c01.150.252.400.310.821.438,c01,infections
salmonella food poisoning,c01.150.252.400.310.821.606,c01,infections
"salmonella infections, animal",c01.150.252.400.310.821.706,c01,infections
typhoid fever,c01.150.252.400.310.821.873,c01,infections
serratia infections,c01.150.252.400.310.850,c01,infections
yersinia infections,c01.150.252.400.310.980,c01,infections
plague,c01.150.252.400.310.980.390,c01,infections
yersinia pseudotuberculosis infections,c01.150.252.400.310.980.780,c01,infections
flavobacteriaceae infections,c01.150.252.400.349,c01,infections
foot rot,c01.150.252.400.369,c01,infections
fusobacteriaceae infections,c01.150.252.400.388,c01,infections
fusobacterium infections,c01.150.252.400.388.350,c01,infections
"gingivitis, necrotizing ulcerative",c01.150.252.400.388.350.350,c01,infections
lemierre syndrome,c01.150.252.400.388.350.700,c01,infections
helicobacter infections,c01.150.252.400.466,c01,infections
legionellosis,c01.150.252.400.500,c01,infections
legionnaires' disease,c01.150.252.400.500.501,c01,infections
lyme disease,c01.150.252.400.536,c01,infections
erythema chronicum migrans,c01.150.252.400.536.400,c01,infections
lyme neuroborreliosis,c01.150.252.400.536.700,c01,infections
post-lyme disease syndrome,c01.150.252.400.536.850,c01,infections
moraxellaceae infections,c01.150.252.400.560,c01,infections
acinetobacter infections,c01.150.252.400.560.022,c01,infections
mycoplasmatales infections,c01.150.252.400.610,c01,infections
mycoplasma infections,c01.150.252.400.610.610,c01,infections
"pleuropneumonia, contagious",c01.150.252.400.610.610.717,c01,infections
"pneumonia, mycoplasma",c01.150.252.400.610.610.760,c01,infections
ureaplasma infections,c01.150.252.400.610.850,c01,infections
neisseriaceae infections,c01.150.252.400.625,c01,infections
gonorrhea,c01.150.252.400.625.275,c01,infections
meningococcal infections,c01.150.252.400.625.549,c01,infections
"meningitis, meningococcal",c01.150.252.400.625.549.449,c01,infections
waterhouse-friderichsen syndrome,c01.150.252.400.625.549.449.800,c01,infections
ophthalmia neonatorum,c01.150.252.400.625.774,c01,infections
pasteurellaceae infections,c01.150.252.400.700,c01,infections
actinobacillus infections,c01.150.252.400.700.030,c01,infections
actinobacillosis,c01.150.252.400.700.030.178,c01,infections
haemophilus infections,c01.150.252.400.700.433,c01,infections
chancroid,c01.150.252.400.700.433.308,c01,infections
"meningitis, haemophilus",c01.150.252.400.700.433.615,c01,infections
pasteurella infections,c01.150.252.400.700.662,c01,infections
hemorrhagic septicemia,c01.150.252.400.700.662.500,c01,infections
"pasteurellosis, pneumonic",c01.150.252.400.700.675,c01,infections
piscirickettsiaceae infections,c01.150.252.400.719,c01,infections
pseudomonas infections,c01.150.252.400.739,c01,infections
q fever,c01.150.252.400.755,c01,infections
rat-bite fever,c01.150.252.400.771,c01,infections
rickettsiaceae infections,c01.150.252.400.789,c01,infections
"pneumonia, rickettsial",c01.150.252.400.789.600,c01,infections
rickettsia infections,c01.150.252.400.789.725,c01,infections
spotted fever group rickettsiosis,c01.150.252.400.789.725.400,c01,infections
boutonneuse fever,c01.150.252.400.789.725.400.250,c01,infections
rocky mountain spotted fever,c01.150.252.400.789.725.400.500,c01,infections
"typhus, endemic flea-borne",c01.150.252.400.789.725.800,c01,infections
"typhus, epidemic louse-borne",c01.150.252.400.789.725.805,c01,infections
scrub typhus,c01.150.252.400.789.850,c01,infections
spirochaetales infections,c01.150.252.400.794,c01,infections
borrelia infections,c01.150.252.400.794.352,c01,infections
lyme disease,c01.150.252.400.794.352.250,c01,infections
erythema chronicum migrans,c01.150.252.400.794.352.250.400,c01,infections
lyme neuroborreliosis,c01.150.252.400.794.352.250.700,c01,infections
post-lyme disease syndrome,c01.150.252.400.794.352.250.850,c01,infections
relapsing fever,c01.150.252.400.794.352.500,c01,infections
leptospirosis,c01.150.252.400.794.511,c01,infections
weil disease,c01.150.252.400.794.511.739,c01,infections
treponemal infections,c01.150.252.400.794.840,c01,infections
pinta,c01.150.252.400.794.840.250,c01,infections
syphilis,c01.150.252.400.794.840.500,c01,infections
chancre,c01.150.252.400.794.840.500.500,c01,infections
neurosyphilis,c01.150.252.400.794.840.500.750,c01,infections
tabes dorsalis,c01.150.252.400.794.840.500.750.800,c01,infections
"syphilis, cardiovascular",c01.150.252.400.794.840.500.875,c01,infections
"syphilis, congenital",c01.150.252.400.794.840.500.937,c01,infections
"syphilis, cutaneous",c01.150.252.400.794.840.500.968,c01,infections
"syphilis, latent",c01.150.252.400.794.840.500.984,c01,infections
yaws,c01.150.252.400.794.840.750,c01,infections
treponemal infections,c01.150.252.400.840,c01,infections
pinta,c01.150.252.400.840.250,c01,infections
syphilis,c01.150.252.400.840.500,c01,infections
chancre,c01.150.252.400.840.500.500,c01,infections
neurosyphilis,c01.150.252.400.840.500.750,c01,infections
tabes dorsalis,c01.150.252.400.840.500.750.800,c01,infections
"syphilis, cardiovascular",c01.150.252.400.840.500.875,c01,infections
"syphilis, congenital",c01.150.252.400.840.500.937,c01,infections
"syphilis, cutaneous",c01.150.252.400.840.500.968,c01,infections
"syphilis, latent",c01.150.252.400.840.500.984,c01,infections
yaws,c01.150.252.400.840.750,c01,infections
tularemia,c01.150.252.400.900,c01,infections
vibrio infections,c01.150.252.400.959,c01,infections
cholera,c01.150.252.400.959.347,c01,infections
gram-positive bacterial infections,c01.150.252.410,c01,infections
actinomycetales infections,c01.150.252.410.040,c01,infections
actinomycosis,c01.150.252.410.040.137,c01,infections
"actinomycosis, cervicofacial",c01.150.252.410.040.137.316,c01,infections
whipple disease,c01.150.252.410.040.137.631,c01,infections
corynebacterium infections,c01.150.252.410.040.246,c01,infections
diphtheria,c01.150.252.410.040.246.388,c01,infections
erythrasma,c01.150.252.410.040.246.694,c01,infections
mycobacterium infections,c01.150.252.410.040.552,c01,infections
"mycobacterium infections, nontuberculous",c01.150.252.410.040.552.475,c01,infections
buruli ulcer,c01.150.252.410.040.552.475.247,c01,infections
leprosy,c01.150.252.410.040.552.475.371,c01,infections
"leprosy, multibacillary",c01.150.252.410.040.552.475.371.775,c01,infections
"leprosy, lepromatous",c01.150.252.410.040.552.475.371.775.500,c01,infections
"leprosy, paucibacillary",c01.150.252.410.040.552.475.371.850,c01,infections
"leprosy, borderline",c01.150.252.410.040.552.475.371.850.249,c01,infections
"leprosy, tuberculoid",c01.150.252.410.040.552.475.371.850.500,c01,infections
mycobacterium avium-intracellulare infection,c01.150.252.410.040.552.475.495,c01,infections
paratuberculosis,c01.150.252.410.040.552.475.747,c01,infections
tuberculosis,c01.150.252.410.040.552.846,c01,infections
latent tuberculosis,c01.150.252.410.040.552.846.122,c01,infections
"peritonitis, tuberculous",c01.150.252.410.040.552.846.308,c01,infections
tuberculoma,c01.150.252.410.040.552.846.493,c01,infections
"tuberculoma, intracranial",c01.150.252.410.040.552.846.493.400,c01,infections
"tuberculosis, avian",c01.150.252.410.040.552.846.516,c01,infections
"tuberculosis, bovine",c01.150.252.410.040.552.846.538,c01,infections
"tuberculosis, cardiovascular",c01.150.252.410.040.552.846.554,c01,infections
"pericarditis, tuberculous",c01.150.252.410.040.552.846.554.595,c01,infections
"tuberculosis, central nervous system",c01.150.252.410.040.552.846.570,c01,infections
"tuberculoma, intracranial",c01.150.252.410.040.552.846.570.300,c01,infections
"tuberculosis, meningeal",c01.150.252.410.040.552.846.570.600,c01,infections
"tuberculosis, cutaneous",c01.150.252.410.040.552.846.588,c01,infections
"tuberculosis, endocrine",c01.150.252.410.040.552.846.606,c01,infections
"tuberculosis, gastrointestinal",c01.150.252.410.040.552.846.628,c01,infections
"tuberculosis, hepatic",c01.150.252.410.040.552.846.651,c01,infections
"tuberculosis, laryngeal",c01.150.252.410.040.552.846.696,c01,infections
"tuberculosis, lymph node",c01.150.252.410.040.552.846.719,c01,infections
king's evil,c01.150.252.410.040.552.846.719.500,c01,infections
"tuberculosis, miliary",c01.150.252.410.040.552.846.764,c01,infections
"tuberculosis, multidrug-resistant",c01.150.252.410.040.552.846.775,c01,infections
extensively drug-resistant tuberculosis,c01.150.252.410.040.552.846.775.500,c01,infections
"tuberculosis, oral",c01.150.252.410.040.552.846.809,c01,infections
"tuberculosis, osteoarticular",c01.150.252.410.040.552.846.843,c01,infections
"tuberculosis, spinal",c01.150.252.410.040.552.846.843.722,c01,infections
"tuberculosis, pleural",c01.150.252.410.040.552.846.877,c01,infections
"tuberculosis, pulmonary",c01.150.252.410.040.552.846.899,c01,infections
silicotuberculosis,c01.150.252.410.040.552.846.899.669,c01,infections
"tuberculosis, splenic",c01.150.252.410.040.552.846.922,c01,infections
"tuberculosis, urogenital",c01.150.252.410.040.552.846.944,c01,infections
"tuberculosis, female genital",c01.150.252.410.040.552.846.944.596,c01,infections
"tuberculosis, male genital",c01.150.252.410.040.552.846.944.721,c01,infections
"tuberculosis, renal",c01.150.252.410.040.552.846.944.847,c01,infections
nocardia infections,c01.150.252.410.040.692,c01,infections
mycetoma,c01.150.252.410.040.692.500,c01,infections
bacillaceae infections,c01.150.252.410.090,c01,infections
anthrax,c01.150.252.410.090.072,c01,infections
bifidobacteriales infections,c01.150.252.410.110,c01,infections
clostridium infections,c01.150.252.410.222,c01,infections
botulism,c01.150.252.410.222.151,c01,infections
"enterocolitis, pseudomembranous",c01.150.252.410.222.310,c01,infections
enterotoxemia,c01.150.252.410.222.325,c01,infections
gas gangrene,c01.150.252.410.222.440,c01,infections
tetanus,c01.150.252.410.222.864,c01,infections
erysipelothrix infections,c01.150.252.410.334,c01,infections
erysipeloid,c01.150.252.410.334.329,c01,infections
swine erysipelas,c01.150.252.410.334.776,c01,infections
listeriosis,c01.150.252.410.514,c01,infections
"meningitis, listeria",c01.150.252.410.514.533,c01,infections
staphylococcal infections,c01.150.252.410.868,c01,infections
"pneumonia, staphylococcal",c01.150.252.410.868.675,c01,infections
staphylococcal food poisoning,c01.150.252.410.868.806,c01,infections
staphylococcal skin infections,c01.150.252.410.868.951,c01,infections
furunculosis,c01.150.252.410.868.951.270,c01,infections
carbuncle,c01.150.252.410.868.951.270.200,c01,infections
impetigo,c01.150.252.410.868.951.360,c01,infections
staphylococcal scalded skin syndrome,c01.150.252.410.868.951.770,c01,infections
streptococcal infections,c01.150.252.410.890,c01,infections
ecthyma,c01.150.252.410.890.168,c01,infections
"endocarditis, subacute bacterial",c01.150.252.410.890.335,c01,infections
erysipelas,c01.150.252.410.890.503,c01,infections
impetigo,c01.150.252.410.890.587,c01,infections
pneumococcal infections,c01.150.252.410.890.670,c01,infections
"meningitis, pneumococcal",c01.150.252.410.890.670.595,c01,infections
"pneumonia, pneumococcal",c01.150.252.410.890.670.750,c01,infections
rheumatic fever,c01.150.252.410.890.731,c01,infections
rheumatic heart disease,c01.150.252.410.890.731.649,c01,infections
scarlet fever,c01.150.252.410.890.823,c01,infections
"pneumonia, bacterial",c01.150.252.620,c01,infections
chlamydial pneumonia,c01.150.252.620.249,c01,infections
"pneumonia of calves, enzootic",c01.150.252.620.300,c01,infections
"pneumonia of swine, mycoplasmal",c01.150.252.620.330,c01,infections
"pneumonia, mycoplasma",c01.150.252.620.500,c01,infections
"pneumonia, pneumococcal",c01.150.252.620.550,c01,infections
"pneumonia, staphylococcal",c01.150.252.620.620,c01,infections
"sexually transmitted diseases, bacterial",c01.150.252.734,c01,infections
chancroid,c01.150.252.734.201,c01,infections
chlamydia infections,c01.150.252.734.301,c01,infections
lymphogranuloma venereum,c01.150.252.734.301.490,c01,infections
gonorrhea,c01.150.252.734.401,c01,infections
granuloma inguinale,c01.150.252.734.451,c01,infections
syphilis,c01.150.252.734.859,c01,infections
"skin diseases, bacterial",c01.150.252.819,c01,infections
"actinomycosis, cervicofacial",c01.150.252.819.110,c01,infections
"angiomatosis, bacillary",c01.150.252.819.150,c01,infections
digital dermatitis,c01.150.252.819.180,c01,infections
ecthyma,c01.150.252.819.210,c01,infections
erysipelas,c01.150.252.819.260,c01,infections
erythema chronicum migrans,c01.150.252.819.310,c01,infections
erythrasma,c01.150.252.819.320,c01,infections
granuloma inguinale,c01.150.252.819.360,c01,infections
hidradenitis suppurativa,c01.150.252.819.420,c01,infections
mycetoma,c01.150.252.819.557,c01,infections
pinta,c01.150.252.819.630,c01,infections
rhinoscleroma,c01.150.252.819.705,c01,infections
staphylococcal skin infections,c01.150.252.819.770,c01,infections
furunculosis,c01.150.252.819.770.270,c01,infections
carbuncle,c01.150.252.819.770.270.200,c01,infections
impetigo,c01.150.252.819.770.360,c01,infections
staphylococcal scalded skin syndrome,c01.150.252.819.770.770,c01,infections
"syphilis, cutaneous",c01.150.252.819.790,c01,infections
"tuberculosis, cutaneous",c01.150.252.819.820,c01,infections
erythema induratum,c01.150.252.819.820.260,c01,infections
lupus vulgaris,c01.150.252.819.820.470,c01,infections
yaws,c01.150.252.819.910,c01,infections
"vaginosis, bacterial",c01.150.252.954,c01,infections
mycoses,c01.150.703,c01,infections
aspergillosis,c01.150.703.080,c01,infections
neuroaspergillosis,c01.150.703.080.537,c01,infections
pulmonary aspergillosis,c01.150.703.080.768,c01,infections
"aspergillosis, allergic bronchopulmonary",c01.150.703.080.768.500,c01,infections
invasive pulmonary aspergillosis,c01.150.703.080.768.750,c01,infections
candidiasis,c01.150.703.160,c01,infections
"candidiasis, chronic mucocutaneous",c01.150.703.160.088,c01,infections
"candidiasis, cutaneous",c01.150.703.160.132,c01,infections
"candidiasis, invasive",c01.150.703.160.175,c01,infections
candidemia,c01.150.703.160.175.500,c01,infections
"candidiasis, oral",c01.150.703.160.180,c01,infections
"candidiasis, vulvovaginal",c01.150.703.160.190,c01,infections
central nervous system fungal infections,c01.150.703.181,c01,infections
"meningitis, fungal",c01.150.703.181.500,c01,infections
"meningitis, cryptococcal",c01.150.703.181.500.500,c01,infections
coccidioidomycosis,c01.150.703.203,c01,infections
cryptococcosis,c01.150.703.248,c01,infections
"meningitis, cryptococcal",c01.150.703.248.290,c01,infections
dermatomycoses,c01.150.703.302,c01,infections
blastomycosis,c01.150.703.302.055,c01,infections
"candidiasis, chronic mucocutaneous",c01.150.703.302.100,c01,infections
"candidiasis, cutaneous",c01.150.703.302.105,c01,infections
chromoblastomycosis,c01.150.703.302.110,c01,infections
hyalohyphomycosis,c01.150.703.302.383,c01,infections
alternariosis,c01.150.703.302.383.125,c01,infections
cerebral phaeohyphomycosis,c01.150.703.302.383.375,c01,infections
fusariosis,c01.150.703.302.383.500,c01,infections
lobomycosis,c01.150.703.302.475,c01,infections
mycetoma,c01.150.703.302.500,c01,infections
sporotrichosis,c01.150.703.302.675,c01,infections
tinea,c01.150.703.302.720,c01,infections
onychomycosis,c01.150.703.302.720.550,c01,infections
tinea capitis,c01.150.703.302.720.730,c01,infections
tinea favosa,c01.150.703.302.720.730.740,c01,infections
tinea cruris,c01.150.703.302.720.745,c01,infections
tinea pedis,c01.150.703.302.720.760,c01,infections
tinea versicolor,c01.150.703.302.860,c01,infections
"eye infections, fungal",c01.150.703.320,c01,infections
"uveitis, suppurative",c01.150.703.320.900,c01,infections
panophthalmitis,c01.150.703.320.900.675,c01,infections
geotrichosis,c01.150.703.392,c01,infections
histoplasmosis,c01.150.703.450,c01,infections
invasive fungal infections,c01.150.703.492,c01,infections
"candidiasis, invasive",c01.150.703.492.500,c01,infections
candidemia,c01.150.703.492.500.500,c01,infections
fungemia,c01.150.703.492.594,c01,infections
invasive pulmonary aspergillosis,c01.150.703.492.688,c01,infections
neuroaspergillosis,c01.150.703.492.750,c01,infections
"lung diseases, fungal",c01.150.703.534,c01,infections
blastomycosis,c01.150.703.534.350,c01,infections
"pneumonia, pneumocystis",c01.150.703.534.700,c01,infections
pulmonary aspergillosis,c01.150.703.534.850,c01,infections
"aspergillosis, allergic bronchopulmonary",c01.150.703.534.850.500,c01,infections
invasive pulmonary aspergillosis,c01.150.703.534.850.750,c01,infections
microsporidiosis,c01.150.703.617,c01,infections
encephalitozoonosis,c01.150.703.617.300,c01,infections
otomycosis,c01.150.703.658,c01,infections
paracoccidioidomycosis,c01.150.703.700,c01,infections
phaeohyphomycosis,c01.150.703.726,c01,infections
piedra,c01.150.703.753,c01,infections
pneumocystis infections,c01.150.703.770,c01,infections
"pneumonia, pneumocystis",c01.150.703.770.700,c01,infections
trichosporonosis,c01.150.703.875,c01,infections
zygomycosis,c01.150.703.980,c01,infections
mucormycosis,c01.150.703.980.600,c01,infections
"bone diseases, infectious",c01.160,c01,infections
osteomyelitis,c01.160.495,c01,infections
mastoiditis,c01.160.495.500,c01,infections
petrositis,c01.160.495.750,c01,infections
pott puffy tumor,c01.160.495.875,c01,infections
periostitis,c01.160.595,c01,infections
spondylitis,c01.160.762,c01,infections
discitis,c01.160.762.301,c01,infections
"tuberculosis, osteoarticular",c01.160.886,c01,infections
"tuberculosis, spinal",c01.160.886.722,c01,infections
cardiovascular infections,c01.190,c01,infections
"endocarditis, bacterial",c01.190.249,c01,infections
"endocarditis, subacute bacterial",c01.190.249.407,c01,infections
"syphilis, cardiovascular",c01.190.500,c01,infections
"tuberculosis, cardiovascular",c01.190.750,c01,infections
"pericarditis, tuberculous",c01.190.750.595,c01,infections
catheter-related infections,c01.195,c01,infections
central nervous system infections,c01.207,c01,infections
brain abscess,c01.207.090,c01,infections
"toxoplasmosis, cerebral",c01.207.090.800,c01,infections
central nervous system bacterial infections,c01.207.180,c01,infections
lyme neuroborreliosis,c01.207.180.437,c01,infections
"meningitis, bacterial",c01.207.180.500,c01,infections
"meningitis, escherichia coli",c01.207.180.500.350,c01,infections
"meningitis, haemophilus",c01.207.180.500.425,c01,infections
"meningitis, listeria",c01.207.180.500.500,c01,infections
"meningitis, meningococcal",c01.207.180.500.750,c01,infections
waterhouse-friderichsen syndrome,c01.207.180.500.750.500,c01,infections
"meningitis, pneumococcal",c01.207.180.500.875,c01,infections
"tuberculosis, meningeal",c01.207.180.500.937,c01,infections
neurosyphilis,c01.207.180.600,c01,infections
tabes dorsalis,c01.207.180.600.800,c01,infections
"tuberculosis, central nervous system",c01.207.180.850,c01,infections
"tuberculoma, intracranial",c01.207.180.850.400,c01,infections
"tuberculosis, meningeal",c01.207.180.850.800,c01,infections
central nervous system fungal infections,c01.207.198,c01,infections
"meningitis, fungal",c01.207.198.500,c01,infections
"meningitis, cryptococcal",c01.207.198.500.500,c01,infections
neuroaspergillosis,c01.207.198.750,c01,infections
central nervous system parasitic infections,c01.207.205,c01,infections
central nervous system helminthiasis,c01.207.205.250,c01,infections
neurocysticercosis,c01.207.205.250.550,c01,infections
neuroschistosomiasis,c01.207.205.250.600,c01,infections
central nervous system protozoal infections,c01.207.205.300,c01,infections
"malaria, cerebral",c01.207.205.300.500,c01,infections
"toxoplasmosis, cerebral",c01.207.205.300.800,c01,infections
"toxoplasmosis, congenital",c01.207.205.300.900,c01,infections
central nervous system viral diseases,c01.207.245,c01,infections
cerebral ventriculitis,c01.207.245.169,c01,infections
"encephalitis, viral",c01.207.245.340,c01,infections
"encephalitis, arbovirus",c01.207.245.340.300,c01,infections
"encephalitis, california",c01.207.245.340.300.200,c01,infections
"encephalitis, japanese",c01.207.245.340.300.400,c01,infections
"encephalitis, st. louis",c01.207.245.340.300.550,c01,infections
"encephalitis, tick-borne",c01.207.245.340.300.775,c01,infections
west nile fever,c01.207.245.340.300.887,c01,infections
"encephalitis, herpes simplex",c01.207.245.340.350,c01,infections
"encephalitis, varicella zoster",c01.207.245.340.400,c01,infections
"encephalomyelitis, equine",c01.207.245.340.450,c01,infections
"encephalomyelitis, eastern equine",c01.207.245.340.450.200,c01,infections
"encephalomyelitis, venezuelan equine",c01.207.245.340.450.600,c01,infections
"encephalomyelitis, western equine",c01.207.245.340.450.800,c01,infections
"leukoencephalopathy, progressive multifocal",c01.207.245.340.500,c01,infections
subacute sclerosing panencephalitis,c01.207.245.340.600,c01,infections
"meningitis, viral",c01.207.245.500,c01,infections
lymphocytic choriomeningitis,c01.207.245.500.500,c01,infections
meningoencephalitis,c01.207.245.550,c01,infections
"lupus vasculitis, central nervous system",c01.207.245.550.500,c01,infections
limbic encephalitis,c01.207.245.700,c01,infections
pseudorabies,c01.207.245.710,c01,infections
encephalomyelitis,c01.207.291,c01,infections
"encephalomyelitis, equine",c01.207.291.323,c01,infections
"encephalomyelitis, eastern equine",c01.207.291.323.162,c01,infections
"encephalomyelitis, venezuelan equine",c01.207.291.323.325,c01,infections
"encephalomyelitis, western equine",c01.207.291.323.662,c01,infections
epidural abscess,c01.207.300,c01,infections
infectious encephalitis,c01.207.399,c01,infections
"encephalitis, viral",c01.207.399.750,c01,infections
"encephalitis, arbovirus",c01.207.399.750.300,c01,infections
"encephalitis, california",c01.207.399.750.300.200,c01,infections
"encephalitis, japanese",c01.207.399.750.300.400,c01,infections
"encephalitis, st. louis",c01.207.399.750.300.550,c01,infections
"encephalitis, tick-borne",c01.207.399.750.300.775,c01,infections
west nile fever,c01.207.399.750.300.887,c01,infections
"encephalitis, herpes simplex",c01.207.399.750.350,c01,infections
"encephalitis, varicella zoster",c01.207.399.750.400,c01,infections
"encephalomyelitis, equine",c01.207.399.750.450,c01,infections
"encephalomyelitis, eastern equine",c01.207.399.750.450.200,c01,infections
"encephalomyelitis, venezuelan equine",c01.207.399.750.450.600,c01,infections
"encephalomyelitis, western equine",c01.207.399.750.450.800,c01,infections
"leukoencephalopathy, progressive multifocal",c01.207.399.750.500,c01,infections
subacute sclerosing panencephalitis,c01.207.399.750.600,c01,infections
meningoencephalitis,c01.207.570,c01,infections
"lupus vasculitis, central nervous system",c01.207.570.450,c01,infections
myelitis,c01.207.618,c01,infections
"myelitis, transverse",c01.207.618.250,c01,infections
"paraparesis, tropical spastic",c01.207.618.500,c01,infections
poliomyelitis,c01.207.618.750,c01,infections
"poliomyelitis, bulbar",c01.207.618.750.500,c01,infections
postpoliomyelitis syndrome,c01.207.618.750.750,c01,infections
perimeningeal infections,c01.207.709,c01,infections
"empyema, subdural",c01.207.709.300,c01,infections
epidural abscess,c01.207.709.350,c01,infections
subdural effusion,c01.207.709.675,c01,infections
prion diseases,c01.207.800,c01,infections
creutzfeldt-jakob syndrome,c01.207.800.230,c01,infections
"encephalopathy, bovine spongiform",c01.207.800.260,c01,infections
gerstmann-straussler-scheinker disease,c01.207.800.350,c01,infections
"insomnia, fatal familial",c01.207.800.392,c01,infections
kuru,c01.207.800.435,c01,infections
scrapie,c01.207.800.717,c01,infections
"wasting disease, chronic",c01.207.800.858,c01,infections
coinfection,c01.218,c01,infections
communicable diseases,c01.221,c01,infections
blood-borne infections,c01.221.250,c01,infections
hepatitis b,c01.221.250.500,c01,infections
"hepatitis b, chronic",c01.221.250.500.100,c01,infections
hepatitis c,c01.221.250.750,c01,infections
"hepatitis c, chronic",c01.221.250.750.120,c01,infections
hiv infections,c01.221.250.875,c01,infections
acquired immunodeficiency syndrome,c01.221.250.875.040,c01,infections
acute retroviral syndrome,c01.221.250.875.044,c01,infections
"aids arteritis, central nervous system",c01.221.250.875.048,c01,infections
aids dementia complex,c01.221.250.875.049,c01,infections
aids-associated nephropathy,c01.221.250.875.050,c01,infections
aids-related complex,c01.221.250.875.080,c01,infections
aids-related opportunistic infections,c01.221.250.875.100,c01,infections
hiv enteropathy,c01.221.250.875.398,c01,infections
hiv seropositivity,c01.221.250.875.500,c01,infections
