Education,Income,Kidhome,Teenhome,MntWinesProducts,MntFruitsProducts,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmpLast,Relationship_status,TotalAMntspent,TotalCmpAccepted,TotalNumPurchases,Age,KidTeenhome
Graduate,41728.0,1,0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,Attached,55,0,4,46,1
Post_grad,72550.0,1,1,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,Attached,1319,0,19,60,2
Graduate,65486.0,0,1,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,Unattached,507,0,16,57,1
Post_grad,79143.0,0,0,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,Attached,1693,0,28,50,0
Graduate,35790.0,1,0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,Unattached,72,0,5,37,1
Graduate,82582.0,0,0,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,1,Unattached,1617,3,20,37,0
Graduate,66373.0,1,1,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,Attached,606,0,16,36,2
Post_grad,82384.0,0,0,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,1,Attached,1957,2,26,59,0
Graduate,70287.0,0,0,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,Unattached,1093,1,20,48,0
Graduate,27938.0,1,0,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,Unattached,29,0,5,26,1
Post_grad,55954.0,0,1,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,Attached,518,0,16,46,1
Post_grad,75777.0,0,0,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,Unattached,1438,3,20,32,0
Graduate,66653.0,1,1,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,Attached,612,0,18,39,2
Graduate,61823.0,0,1,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,Unattached,884,0,20,62,1
Post_grad,67680.0,0,1,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,Unattached,606,0,18,63,1
Graduate,70666.0,0,0,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,Attached,1076,0,15,66,0
Graduate,25721.0,1,0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,1,Attached,34,1,4,43,1
Graduate,32474.0,1,1,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,Attached,11,0,3,47,2
Undergrad,88194.0,0,1,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1,Unattached,1274,3,31,35,1
Graduate,69096.0,0,1,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,Attached,653,0,17,56,1
Graduate,74854.0,1,2,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,Attached,1562,0,12,44,3
Post_grad,66991.0,0,0,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,Attached,1253,0,18,60,0
Graduate,65031.0,0,1,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,Attached,863,0,26,55,1
Post_grad,60631.0,1,1,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,Attached,661,1,19,39,2
Graduate,28332.0,0,0,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,Attached,65,0,7,62,0
Graduate,40246.0,1,0,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,Unattached,13,0,3,37,1
Post_grad,75251.0,0,0,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1,Attached,1890,1,18,42,0
Graduate,75825.0,0,0,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,1,Unattached,2209,2,22,38,0
Undergrad,26326.0,0,0,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,Attached,18,0,3,38,0
Graduate,56046.0,0,0,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,1,Attached,692,2,19,49,0
Graduate,29760.0,1,0,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,Unattached,165,0,8,29,1
Graduate,26304.0,1,0,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,Attached,16,0,3,45,1
Undergrad,23559.0,1,0,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,Attached,79,0,6,41,1
Post_grad,38620.0,0,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,Attached,318,0,10,51,0
Graduate,81361.0,0,0,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,Unattached,778,0,26,27,0
Graduate,29440.0,1,1,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,Attached,56,0,5,54,2
Post_grad,36138.0,1,1,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,Attached,151,1,8,44,2
Graduate,50388.0,0,1,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,Unattached,372,3,13,57,1
Graduate,79593.0,0,0,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,Attached,1366,1,18,41,0
Graduate,54178.0,0,1,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,Attached,194,0,9,47,1
Post_grad,42394.0,1,0,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,Unattached,32,0,4,42,1
Post_grad,23626.0,1,0,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,Attached,43,0,7,44,1
Graduate,30096.0,1,0,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,Attached,45,0,5,31,1
Graduate,47916.0,0,1,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,Unattached,606,1,17,54,1
Graduate,51813.0,1,1,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,Unattached,63,0,5,42,2
Undergrad,78497.0,0,0,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,Attached,978,1,24,63,0
Post_grad,50150.0,0,0,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,Attached,410,0,14,31,0
Undergrad,47823.0,0,1,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,Unattached,72,0,5,54,1
Post_grad,34554.0,0,1,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,Unattached,55,0,5,55,1
Graduate,85693.0,0,1,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,Attached,1169,0,25,35,1
Post_grad,65846.0,0,0,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,Attached,1120,0,15,69,0
Graduate,87195.0,0,0,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1,Attached,1097,1,19,55,0
Undergrad,24594.0,1,0,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,Attached,29,0,4,35,1
Graduate,49096.0,1,1,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,Attached,187,0,9,50,2
Graduate,52413.0,0,2,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,Attached,910,0,22,45,2
Graduate,38557.0,1,0,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,Unattached,145,0,7,36,1
Post_grad,89058.0,0,0,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,Attached,850,0,13,54,0
Graduate,77298.0,0,1,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,Attached,969,0,23,35,1
Post_grad,68126.0,0,0,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,1,Unattached,1820,2,16,23,0
Post_grad,57288.0,0,1,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,Attached,608,1,17,51,1
Graduate,86037.0,0,0,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,1,Unattached,730,3,24,23,0
Post_grad,43974.0,1,0,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,Attached,551,0,16,34,1
Graduate,50785.0,1,1,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,Unattached,114,0,6,52,2
Graduate,90765.0,0,0,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,Attached,1724,2,15,44,0
Undergrad,36550.0,1,0,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,Attached,577,0,15,36,1
Undergrad,30753.0,1,1,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,Attached,81,0,5,47,2
Graduate,21918.0,1,0,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,Attached,33,0,5,45,1
Post_grad,56129.0,0,1,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,Attached,660,0,18,61,1
Post_grad,32557.0,1,0,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,1,Unattached,80,1,6,47,1
Post_grad,19510.0,2,0,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,Attached,30,0,4,29,2
Graduate,30992.0,1,0,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,Unattached,43,0,4,38,1
Graduate,101970.0,0,0,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,1,Unattached,1135,4,27,31,0
Undergrad,71488.0,0,0,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,Attached,559,0,14,49,0
Graduate,79607.0,0,0,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,1,Unattached,1923,1,15,30,0
Post_grad,54348.0,1,1,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,Attached,90,0,6,61,2
Post_grad,77376.0,1,1,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,Attached,661,0,19,58,2
Graduate,62998.0,0,1,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,Attached,463,0,14,62,1
Post_grad,61331.0,1,1,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,Unattached,632,0,18,56,2
Graduate,73448.0,0,0,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,Attached,725,0,18,45,0
Post_grad,41551.0,1,1,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,Attached,279,0,11,50,2
Post_grad,62981.0,0,0,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,Attached,1482,1,22,47,0
Undergrad,9548.0,1,0,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,Unattached,29,0,4,38,1
Post_grad,33762.0,2,1,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,Attached,106,0,6,55,3
Post_grad,35860.0,1,1,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,1,Unattached,49,2,4,41,2
Post_grad,36921.0,1,1,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,Unattached,38,0,5,49,2
Post_grad,92859.0,0,0,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,Unattached,2077,0,21,22,0
Post_grad,65104.0,0,1,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,Attached,1053,1,15,38,1
Graduate,86111.0,0,0,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,Attached,1385,0,22,52,0
Post_grad,68352.0,0,1,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,Unattached,871,0,22,40,1
Graduate,41883.0,1,0,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,Attached,312,0,9,26,1
Graduate,59809.0,0,2,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,Attached,877,0,12,38,2
Graduate,23957.0,1,0,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,1,Attached,68,1,5,39,1
Graduate,38547.0,1,0,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0,Attached,22,0,3,33,1
Undergrad,35688.0,2,1,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,Attached,211,0,9,41,3
Post_grad,49605.0,0,0,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,Attached,127,0,7,48,0
Post_grad,59354.0,0,2,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,Attached,459,0,15,61,2
Graduate,65747.0,0,1,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,Attached,460,1,15,45,1
Undergrad,46344.0,0,1,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,Attached,429,0,13,42,1
Graduate,34176.0,1,0,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,Unattached,89,0,7,26,1
Post_grad,61010.0,0,1,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,Attached,1021,0,24,62,1
Graduate,69372.0,0,0,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,1,Attached,1381,3,20,65,0
Graduate,49967.0,0,1,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,Unattached,306,0,12,56,1
Graduate,60199.0,1,2,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,Unattached,18,0,3,36,3
Graduate,55375.0,0,1,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,Attached,162,0,8,37,1
Graduate,80317.0,0,0,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,Unattached,1231,0,17,59,0
Post_grad,30523.0,2,1,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,Unattached,13,0,3,56,3
Post_grad,70356.0,0,0,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,Attached,1706,0,25,69,0
Graduate,23228.0,1,0,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,Attached,121,0,7,30,1
Post_grad,74165.0,0,0,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,Unattached,1293,0,19,39,0
Post_grad,157243.0,0,1,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,Attached,1608,0,22,41,1
Graduate,43482.0,2,1,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,Attached,88,0,6,48,3
Graduate,62551.0,0,0,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,Unattached,421,1,17,61,0
Graduate,52332.0,0,0,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,Unattached,259,1,11,55,0
Graduate,66951.0,0,0,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,Unattached,1117,0,14,26,0
Graduate,26091.0,1,1,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,Attached,89,0,6,57,2
Graduate,33456.0,1,1,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,Attached,36,0,4,49,2
Graduate,28718.0,1,0,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,Attached,57,0,5,32,1
Graduate,50447.0,2,0,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,Attached,148,0,7,44,2
Post_grad,53537.0,1,1,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,Attached,93,0,6,55,2
Graduate,52074.0,0,1,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,Unattached,119,1,6,47,1
Post_grad,80427.0,0,1,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,Attached,1835,0,27,39,1
Post_grad,83837.0,0,0,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,1,Attached,1318,3,24,66,0
Post_grad,38853.0,1,1,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,Attached,45,0,5,44,2
Graduate,38285.0,2,1,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,Attached,10,0,3,55,3
Undergrad,78497.0,0,0,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,Attached,978,1,24,63,0
Post_grad,51650.0,0,1,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,Attached,191,0,9,38,1
Undergrad,16248.0,1,0,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,Attached,57,0,6,26,1
Post_grad,66835.0,0,0,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,Attached,1033,0,23,68,0
Post_grad,30477.0,1,0,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,Attached,66,0,5,30,1
Undergrad,28249.0,0,0,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,Attached,43,0,5,53,0
Graduate,25271.0,1,0,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,Attached,50,0,4,31,1
Post_grad,32303.0,0,1,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,Unattached,39,0,5,44,1
Graduate,61286.0,0,1,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,Attached,608,0,16,48,1
Graduate,74068.0,0,0,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,Attached,1581,0,23,38,0
Post_grad,45759.0,1,1,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,Attached,68,0,5,50,2
Undergrad,24882.0,1,0,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,Attached,80,1,4,36,1
Post_grad,66973.0,0,0,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,Attached,1282,0,27,25,0
Undergrad,36640.0,1,0,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,0,Unattached,65,0,5,114,1
Graduate,38872.0,1,0,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,Attached,91,0,6,26,1
Graduate,51148.0,1,1,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,Attached,315,0,12,41,2
Graduate,31353.0,1,1,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,Attached,31,0,4,37,2
Post_grad,69661.0,0,0,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,Attached,834,0,22,34,0
Graduate,80067.0,0,0,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,Attached,1600,1,16,60,0
Graduate,86718.0,0,0,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,Attached,1270,0,16,60,0
Post_grad,46854.0,1,1,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,1,Unattached,263,2,9,41,2
Graduate,69142.0,0,1,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,Unattached,535,1,16,62,1
Graduate,75922.0,0,0,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,Unattached,1295,0,17,46,0
Graduate,63693.0,0,1,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,Unattached,1150,0,26,36,1
Post_grad,102160.0,0,0,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,1,Attached,1240,4,26,37,0
Post_grad,40637.0,1,1,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,Unattached,38,0,4,49,2
Post_grad,18890.0,0,0,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,Unattached,35,2,3,30,0
Graduate,29604.0,1,0,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,Attached,53,1,4,26,1
Post_grad,48721.0,1,1,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,Unattached,293,0,11,51,2
Graduate,44794.0,0,1,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,Attached,65,0,5,48,1
Graduate,64497.0,0,1,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,1,Unattached,1804,2,24,60,1
Graduate,46097.0,0,1,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,Attached,241,0,10,58,1
Graduate,77972.0,0,0,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,Attached,1101,0,19,60,0
Post_grad,44377.0,1,1,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,Attached,264,0,11,46,2
Post_grad,46014.0,1,1,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,Attached,541,0,16,40,2
Graduate,70951.0,0,0,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,Attached,1198,0,16,29,0
Graduate,41443.0,1,0,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,Attached,482,0,14,37,1
Undergrad,52195.0,2,1,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,Unattached,17,0,3,36,3
Post_grad,83790.0,0,0,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,Attached,1615,2,24,66,0
Post_grad,44551.0,0,1,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,Unattached,285,0,10,60,1
Graduate,69508.0,1,0,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,Attached,1135,0,26,34,1
Undergrad,45204.0,1,0,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,Attached,114,0,6,26,1
Graduate,72460.0,0,0,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,Attached,1047,0,15,45,0
Post_grad,77622.0,0,2,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,Attached,714,0,20,44,2
Post_grad,30732.0,1,0,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,Attached,185,0,9,34,1
Graduate,63887.0,0,1,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,Unattached,1245,0,27,52,1
